iter	Passed	Remaining
378	1022	1675
379	1025	1672
380	1028	1670
381	1030	1667
382	1033	1664
383	1035	1661
384	1038	1658
385	1041	1655
386	1043	1653
387	1046	1650
388	1049	1647
389	1051	1645
390	1054	1642
391	1057	1639
392	1060	1637
393	1062	1634
394	1065	1631
395	1067	1628
396	1070	1626
397	1073	1623
398	1075	1620
399	1078	1618
400	1081	1615
401	1084	1612
402	1086	1609
403	1089	1606
404	1091	1604
405	1094	1601
406	1097	1599
407	1100	1596
408	1103	1594
409	1106	1591
410	1109	1589
411	1111	1586
412	1114	1583
413	1116	1580
414	1119	1578
415	1122	1575
416	1124	1572
417	1127	1570
418	1130	1567
419	1133	1565
420	1136	1562
421	1138	1559
422	1141	1557
423	1144	1554
424	1147	1552
425	1150	1549
426	1153	1547
427	1155	1544
428	1158	1542
429	1161	1539
430	1163	1536
431	1166	1533
432	1168	1530
433	1171	1527
434	1174	1524
435	1176	1522
436	1179	1519
437	1182	1516
438	1184	1513
439	1187	1511
440	1190	1508
441	1192	1505
442	1195	1503
443	1198	1500
